id,name,category,website
76,Monday.com,Productivity and Project Management,https://developer.monday.com
77,ClickUp,Productivity and Project Management,https://clickup.com/api
78,Coda,Productivity and Project Management,https://coda.io/developers
79,Smartsheet,Productivity and Project Management,https://smartsheet.com/developers
80,Harvest,Productivity and Project Management,https://harvestapp.com
81,Stripe,Finance and Fintech,https://stripe.com/docs/api
82,Plaid,Finance and Fintech,https://plaid.com/docs
83,Binance,Finance and Fintech,https://binance-docs.github.io
84,Paygent Connect,Finance and Fintech,https://paygent
85,iPayX,Finance and Fintech,https://ipayx.ai/docs
86,QuickBooks,Finance and Fintech,https://developer.intuit.com
87,Xero,Finance and Fintech,https://developer.xero.com
88,Brex,Finance and Fintech,https://developer.brex.com
89,Ramp,Finance and Fintech,https://docs.ramp.com
90,PitchBook,Finance and Fintech,https://pitchbook.com
91,NotebookLM,AI Research and Media-native,https://cloud.google.com/gemini
92,Otter AI,AI Research and Media-native,https://help.otter.ai
93,Fathom,AI Research and Media-native,https://fathom.video
94,Consensus,AI Research and Media-native,https://consensus.app
95,Reducto,AI Research and Media-native,https://reducto.ai
96,Devin,AI Research and Media-native,https://docs.devin.ai
97,higgsfield,AI Research and Media-native,https://higgsfield.ai/cli
98,Mermaid CLI,AI Research and Media-native,https://github.com/mermaid-js/mermaid-cli
99,YouTube Transcript,AI Research and Media-native,https://transcriptapi.com
100,Grain,AI Research and Media-native,https://grain.com
